2010 Census Tract,School Year,Grade Level,Count of Students
166,20082009,1,3
166,20082009,2,2
166,20082009,3,5
166,20082009,4,8
166,20082009,5,5
166,20092010,K,5
166,20092010,1,6
166,20092010,2,3
166,20092010,3,3
166,20092010,4,5
166,20092010,5,8
166,20102011,K,5
166,20102011,1,7
166,20102011,2,7
166,20102011,3,4
166,20102011,4,4
166,20102011,5,6
168,20012002,K,9
168,20012002,1,11
168,20012002,2,4
168,20012002,3,3
168,20012002,4,5
168,20012002,5,11
168,20022003,K,14
168,20022003,1,6
168,20022003,2,11
168,20022003,3,4
168,20022003,4,4
168,20022003,5,6
168,20032004,K,14
168,20032004,1,14
168,20032004,2,6
168,20032004,3,14
168,20032004,4,4
168,20032004,5,5
168,20042005,K,6
168,20042005,1,9
168,20042005,2,17
168,20042005,3,9
168,20042005,4,15
168,20042005,5,5
168,20052006,K,9
168,20052006,1,6
168,20052006,2,8
168,20052006,3,17
168,20052006,4,6
168,20052006,5,15
168,20062007,K,13
168,20062007,1,10
168,20062007,2,5
168,20062007,3,7
168,20062007,4,16
168,20062007,5,6
168,20072008,K,5
168,20072008,1,13
168,20072008,2,8
168,20072008,3,6
168,20072008,4,6
168,20072008,5,16
168,20082009,K,18
168,20082009,1,4
168,20082009,2,11
168,20082009,3,9
168,20082009,4,5
168,20082009,5,6
168,20092010,K,7
168,20092010,1,24
168,20092010,2,4
168,20092010,3,11
168,20092010,4,8
168,20092010,5,7
168,20102011,K,10
168,20102011,1,10
168,20102011,2,21
168,20102011,3,6
168,20102011,4,12
168,20102011,5,8
170,20012002,K,28
170,20012002,1,30
170,20012002,2,29
170,20012002,3,19
170,20012002,4,27
170,20012002,5,35
170,20022003,K,30
170,20022003,1,33
170,20022003,2,29
170,20022003,3,30
170,20022003,4,23
170,20022003,5,27
170,20032004,K,30
170,20032004,1,29
170,20032004,2,34
170,20032004,3,32
170,20032004,4,30
170,20032004,5,24
170,20042005,K,19
170,20042005,1,32
170,20042005,2,29
170,20042005,3,37
170,20042005,4,27
170,20042005,5,32
170,20052006,K,28
170,20052006,1,19
170,20052006,2,33
170,20052006,3,33
170,20052006,4,39
170,20052006,5,32
170,20062007,K,16
170,20062007,1,28
170,20062007,2,19
170,20062007,3,38
170,20062007,4,35
170,20062007,5,44
170,20072008,K,14
170,20072008,1,14
170,20072008,2,28
170,20072008,3,15
170,20072008,4,37
170,20072008,5,34
170,20082009,K,32
170,20082009,1,20
170,20082009,2,12
170,20082009,3,29
170,20082009,4,16
170,20082009,5,40
170,20092010,K,23
170,20092010,1,42
170,20092010,2,31
170,20092010,3,17
170,20092010,4,26
170,20092010,5,27
170,20102011,K,43
170,20102011,1,24
170,20102011,2,40
170,20102011,3,25
170,20102011,4,18
170,20102011,5,25
172,20012002,K,25
172,20012002,1,19
172,20012002,2,20
172,20012002,3,25
172,20012002,4,23
172,20012002,5,29
172,20022003,K,31
172,20022003,1,25
172,20022003,2,21
172,20022003,3,25
172,20022003,4,24
172,20022003,5,24
172,20032004,K,15
172,20032004,1,34
172,20032004,2,29
172,20032004,3,17
172,20032004,4,21
172,20032004,5,23
172,20042005,K,21
172,20042005,1,17
172,20042005,2,34
172,20042005,3,33
172,20042005,4,25
172,20042005,5,23
172,20052006,K,23
172,20052006,1,26
172,20052006,2,15
172,20052006,3,38
172,20052006,4,33
172,20052006,5,30
172,20062007,K,14
172,20062007,1,26
172,20062007,2,29
172,20062007,3,16
172,20062007,4,41
172,20062007,5,39
172,20072008,K,17
172,20072008,1,16
172,20072008,2,22
172,20072008,3,32
172,20072008,4,25
172,20072008,5,41
172,20082009,K,33
172,20082009,1,19
172,20082009,2,15
172,20082009,3,27
172,20082009,4,34
172,20082009,5,25
172,20092010,K,18
172,20092010,1,36
172,20092010,2,25
172,20092010,3,13
172,20092010,4,27
172,20092010,5,32
172,20102011,K,44
172,20102011,1,17
172,20102011,2,44
172,20102011,3,25
172,20102011,4,13
172,20102011,5,26
174,20012002,K,13
174,20012002,1,14
174,20012002,2,8
174,20012002,3,11
174,20012002,4,8
174,20012002,5,7
174,20022003,K,10
174,20022003,1,13
174,20022003,2,16
174,20022003,3,9
174,20022003,4,12
174,20022003,5,8
174,20032004,K,12
174,20032004,1,8
174,20032004,2,13
174,20032004,3,14
174,20032004,4,13
174,20032004,5,12
174,20042005,K,10
174,20042005,1,13
174,20042005,2,13
174,20042005,3,13
174,20042005,4,15
174,20042005,5,13
174,20052006,K,6
174,20052006,1,10
174,20052006,2,15
174,20052006,3,13
174,20052006,4,12
174,20052006,5,12
174,20062007,K,3
174,20062007,1,5
174,20062007,2,10
174,20062007,3,14
174,20062007,4,12
174,20062007,5,13
174,20072008,K,9
174,20072008,1,3
174,20072008,2,6
174,20072008,3,5
174,20072008,4,14
174,20072008,5,13
174,20082009,K,15
174,20082009,1,9
174,20082009,2,3
174,20082009,3,8
174,20082009,4,6
174,20082009,5,14
174,20092010,K,7
174,20092010,1,15
174,20092010,2,11
174,20092010,3,5
174,20092010,4,10
174,20092010,5,7
174,20102011,K,15
174,20102011,1,7
174,20102011,2,17
174,20102011,3,9
174,20102011,4,4
174,20102011,5,8
176,20012002,K,19
176,20012002,1,24
176,20012002,2,16
176,20012002,3,22
176,20012002,4,15
176,20012002,5,15
176,20022003,K,20
176,20022003,1,14
176,20022003,2,25
176,20022003,3,15
176,20022003,4,19
176,20022003,5,14
176,20032004,K,11
176,20032004,1,17
176,20032004,2,17
176,20032004,3,24
176,20032004,4,17
176,20032004,5,15
176,20042005,K,10
176,20042005,1,12
176,20042005,2,15
176,20042005,3,13
176,20042005,4,19
176,20042005,5,17
176,20052006,K,7
176,20052006,1,9
176,20052006,2,12
176,20052006,3,14
176,20052006,4,14
176,20052006,5,15
176,20062007,K,5
176,20062007,1,8
176,20062007,2,9
176,20062007,3,14
176,20062007,4,14
176,20062007,5,13
176,20072008,K,5
176,20072008,1,5
176,20072008,2,10
176,20072008,3,8
176,20072008,4,14
176,20072008,5,12
176,20082009,K,12
176,20082009,1,4
176,20082009,2,4
176,20082009,3,9
176,20082009,4,6
176,20082009,5,12
176,20092010,K,10
176,20092010,1,16
176,20092010,2,5
176,20092010,3,6
176,20092010,4,8
176,20092010,5,6
176,20102011,K,24
176,20102011,1,10
176,20102011,2,13
176,20102011,3,6
176,20102011,4,7
176,20102011,5,8
178,20012002,K,27
178,20012002,1,20
178,20012002,2,28
178,20012002,3,30
178,20012002,4,17
178,20012002,5,19
178,20022003,K,23
178,20022003,1,25
178,20022003,2,23
178,20022003,3,31
178,20022003,4,24
178,20022003,5,18
178,20032004,K,15
178,20032004,1,21
178,20032004,2,18
178,20032004,3,24
178,20032004,4,27
178,20032004,5,26
178,20042005,K,18
178,20042005,1,13
178,20042005,2,20
178,20042005,3,25
178,20042005,4,21
178,20042005,5,24
178,20052006,K,14
178,20052006,1,17
178,20052006,2,14
178,20052006,3,16
178,20052006,4,19
178,20052006,5,21
178,20062007,K,21
178,20062007,1,18
178,20062007,2,17
178,20062007,3,20
178,20062007,4,16
178,20062007,5,19
178,20072008,K,15
178,20072008,1,23
178,20072008,2,18
178,20072008,3,16
178,20072008,4,22
178,20072008,5,23
178,20082009,K,15
178,20082009,1,13
178,20082009,2,17
178,20082009,3,17
178,20082009,4,14
178,20082009,5,21
178,20092010,K,19
178,20092010,1,19
178,20092010,2,14
178,20092010,3,17
178,20092010,4,16
178,20092010,5,17
178,20102011,K,30
178,20102011,1,22
178,20102011,2,18
178,20102011,3,13
178,20102011,4,15
178,20102011,5,14
180,20012002,K,27
180,20012002,1,21
180,20012002,2,26
180,20012002,3,20
180,20012002,4,25
180,20012002,5,23
180,20022003,K,25
180,20022003,1,27
180,20022003,2,26
180,20022003,3,27
180,20022003,4,24
180,20022003,5,25
180,20032004,K,28
180,20032004,1,28
180,20032004,2,30
180,20032004,3,26
180,20032004,4,31
180,20032004,5,20
180,20042005,K,22
180,20042005,1,30
180,20042005,2,29
180,20042005,3,28
180,20042005,4,28
180,20042005,5,34
180,20052006,K,28
180,20052006,1,19
180,20052006,2,27
180,20052006,3,27
180,20052006,4,32
180,20052006,5,33
180,20062007,K,19
180,20062007,1,25
180,20062007,2,22
180,20062007,3,26
180,20062007,4,23
180,20062007,5,29
180,20072008,K,20
180,20072008,1,19
180,20072008,2,20
180,20072008,3,20
180,20072008,4,28
180,20072008,5,19
180,20082009,K,24
180,20082009,1,14
180,20082009,2,18
180,20082009,3,22
180,20082009,4,23
180,20082009,5,28
180,20092010,K,23
180,20092010,1,29
180,20092010,2,16
180,20092010,3,17
180,20092010,4,22
180,20092010,5,25
180,20102011,K,28
180,20102011,1,19
180,20102011,2,30
180,20102011,3,14
180,20102011,4,13
180,20102011,5,21
182,20012002,K,34
182,20012002,1,35
182,20012002,2,29
182,20012002,3,21
182,20012002,4,22
182,20012002,5,25
182,20022003,K,35
182,20022003,1,32
182,20022003,2,35
182,20022003,3,32
182,20022003,4,23
182,20022003,5,21
182,20032004,K,28
182,20032004,1,33
182,20032004,2,30
182,20032004,3,36
182,20032004,4,28
182,20032004,5,25
182,20042005,K,24
182,20042005,1,29
182,20042005,2,29
182,20042005,3,34
182,20042005,4,36
182,20042005,5,25
182,20052006,K,26
182,20052006,1,26
182,20052006,2,32
182,20052006,3,31
182,20052006,4,38
182,20052006,5,38
182,20062007,K,31
182,20062007,1,28
182,20062007,2,23
182,20062007,3,34
182,20062007,4,31
182,20062007,5,37
182,20072008,K,29
182,20072008,1,32
182,20072008,2,29
182,20072008,3,30
182,20072008,4,35
182,20072008,5,28
182,20082009,K,20
182,20082009,1,31
182,20082009,2,32
182,20082009,3,28
182,20082009,4,29
182,20082009,5,34
182,20092010,K,33
182,20092010,1,27
182,20092010,2,32
182,20092010,3,39
182,20092010,4,31
182,20092010,5,31
182,20102011,K,37
182,20102011,1,37
182,20102011,2,29
182,20102011,3,40
182,20102011,4,35
182,20102011,5,39
184,20012002,K,26
184,20012002,1,13
184,20012002,2,18
184,20012002,3,16
184,20012002,4,22
184,20012002,5,11
184,20022003,K,27
184,20022003,1,30
184,20022003,2,11
184,20022003,3,20
184,20022003,4,19
184,20022003,5,18
184,20032004,K,23
184,20032004,1,25
184,20032004,2,32
184,20032004,3,14
184,20032004,4,21
184,20032004,5,19
184,20042005,K,20
184,20042005,1,25
184,20042005,2,24
184,20042005,3,31
184,20042005,4,15
184,20042005,5,28
184,20052006,K,22
184,20052006,1,19
184,20052006,2,23
184,20052006,3,26
184,20052006,4,30
184,20052006,5,16
184,20062007,K,17
184,20062007,1,20
184,20062007,2,19
184,20062007,3,23
184,20062007,4,28
184,20062007,5,29
184,20072008,K,18
184,20072008,1,15
184,20072008,2,24
184,20072008,3,23
184,20072008,4,27
184,20072008,5,30
184,20082009,K,24
184,20082009,1,21
184,20082009,2,14
184,20082009,3,25
184,20082009,4,28
184,20082009,5,30
184,20092010,K,13
184,20092010,1,23
184,20092010,2,22
184,20092010,3,13
184,20092010,4,26
184,20092010,5,29
184,20102011,K,17
184,20102011,1,18
184,20102011,2,24
184,20102011,3,22
184,20102011,4,16
184,20102011,5,27
186,20012002,K,23
186,20012002,1,17
186,20012002,2,18
186,20012002,3,13
186,20012002,4,23
186,20012002,5,16
186,20022003,K,26
186,20022003,1,20
186,20022003,2,19
186,20022003,3,16
186,20022003,4,12
186,20022003,5,24
186,20032004,K,16
186,20032004,1,25
186,20032004,2,21
186,20032004,3,20
186,20032004,4,14
186,20032004,5,12
186,20042005,K,20
186,20042005,1,17
186,20042005,2,24
186,20042005,3,18
186,20042005,4,19
186,20042005,5,15
186,20052006,K,19
186,20052006,1,22
186,20052006,2,19
186,20052006,3,27
186,20052006,4,22
186,20052006,5,18
186,20062007,K,27
186,20062007,1,17
186,20062007,2,19
186,20062007,3,18
186,20062007,4,24
186,20062007,5,23
186,20072008,K,23
186,20072008,1,26
186,20072008,2,18
186,20072008,3,23
186,20072008,4,19
186,20072008,5,22
186,20082009,K,19
186,20082009,1,26
186,20082009,2,25
186,20082009,3,19
186,20082009,4,25
186,20082009,5,21
186,20092010,K,30
186,20092010,1,23
186,20092010,2,27
186,20092010,3,20
186,20092010,4,22
186,20092010,5,27
186,20102011,K,23
186,20102011,1,30
186,20102011,2,21
186,20102011,3,30
186,20102011,4,25
186,20102011,5,20
188,20012002,K,11
188,20012002,1,19
188,20012002,2,28
188,20012002,3,19
188,20012002,4,16
188,20012002,5,22
188,20022003,K,12
188,20022003,1,17
188,20022003,2,21
188,20022003,3,29
188,20022003,4,19
188,20022003,5,20
188,20032004,K,18
188,20032004,1,13
188,20032004,2,19
188,20032004,3,25
188,20032004,4,27
188,20032004,5,23
188,20042005,K,16
188,20042005,1,21
188,20042005,2,10
188,20042005,3,26
188,20042005,4,25
188,20042005,5,27
188,20052006,K,21
188,20052006,1,17
188,20052006,2,20
188,20052006,3,9
188,20052006,4,24
188,20052006,5,20
188,20062007,K,18
188,20062007,1,25
188,20062007,2,16
188,20062007,3,17
188,20062007,4,16
188,20062007,5,22
188,20072008,K,22
188,20072008,1,19
188,20072008,2,27
188,20072008,3,16
188,20072008,4,21
188,20072008,5,13
188,20082009,K,17
188,20082009,1,23
188,20082009,2,19
188,20082009,3,27
188,20082009,4,16
188,20082009,5,22
188,20092010,K,19
188,20092010,1,20
188,20092010,2,29
188,20092010,3,22
188,20092010,4,28
188,20092010,5,16
188,20102011,K,33
188,20102011,1,19
188,20102011,2,15
188,20102011,3,32
188,20102011,4,19
188,20102011,5,24
190,20012002,K,45
190,20012002,1,45
190,20012002,2,42
190,20012002,3,43
190,20012002,4,43
190,20012002,5,54
190,20022003,K,36
190,20022003,1,51
190,20022003,2,45
190,20022003,3,39
190,20022003,4,33
190,20022003,5,44
190,20032004,K,33
190,20032004,1,39
190,20032004,2,46
190,20032004,3,48
190,20032004,4,39
190,20032004,5,29
190,20042005,K,40
190,20042005,1,36
190,20042005,2,38
190,20042005,3,48
190,20042005,4,49
190,20042005,5,44
190,20052006,K,41
190,20052006,1,35
190,20052006,2,37
190,20052006,3,31
190,20052006,4,41
190,20052006,5,43
190,20062007,K,41
190,20062007,1,45
190,20062007,2,39
190,20062007,3,41
190,20062007,4,31
190,20062007,5,36
190,20072008,K,54
190,20072008,1,47
190,20072008,2,45
190,20072008,3,38
190,20072008,4,43
190,20072008,5,29
190,20082009,K,40
190,20082009,1,52
190,20082009,2,48
190,20082009,3,48
190,20082009,4,35
190,20082009,5,42
190,20092010,K,45
190,20092010,1,46
190,20092010,2,58
190,20092010,3,53
190,20092010,4,57
190,20092010,5,44
190,20102011,K,52
190,20102011,1,50
190,20102011,2,42
190,20102011,3,63
190,20102011,4,49
190,20102011,5,58
192,20012002,K,19
192,20012002,1,15
192,20012002,2,22
192,20012002,3,18
192,20012002,4,11
192,20012002,5,19
192,20022003,K,15
192,20022003,1,19
192,20022003,2,18
192,20022003,3,27
192,20022003,4,19
192,20022003,5,14
192,20032004,K,16
192,20032004,1,12
192,20032004,2,21
192,20032004,3,17
192,20032004,4,25
192,20032004,5,15
192,20042005,K,20
192,20042005,1,16
192,20042005,2,12
192,20042005,3,19
192,20042005,4,22
192,20042005,5,22
192,20052006,K,6
192,20052006,1,24
192,20052006,2,17
192,20052006,3,11
192,20052006,4,21
192,20052006,5,23
192,20062007,K,10
192,20062007,1,6
192,20062007,2,21
192,20062007,3,16
192,20062007,4,12
192,20062007,5,19
192,20072008,K,13
192,20072008,1,13
192,20072008,2,9
192,20072008,3,23
192,20072008,4,15
192,20072008,5,12
192,20082009,K,18
192,20082009,1,14
192,20082009,2,13
192,20082009,3,9
192,20082009,4,20
192,20082009,5,12
192,20092010,K,22
192,20092010,1,16
192,20092010,2,15
192,20092010,3,13
192,20092010,4,13
192,20092010,5,15
192,20102011,K,22
192,20102011,1,23
192,20102011,2,17
192,20102011,3,19
192,20102011,4,15
192,20102011,5,16
194,20012002,K,25
194,20012002,1,25
194,20012002,2,36
194,20012002,3,26
194,20012002,4,32
194,20012002,5,30
194,20022003,K,37
194,20022003,1,32
194,20022003,2,25
194,20022003,3,37
194,20022003,4,23
194,20022003,5,31
194,20032004,K,31
194,20032004,1,39
194,20032004,2,32
194,20032004,3,22
194,20032004,4,40
194,20032004,5,24
194,20042005,K,28
194,20042005,1,34
194,20042005,2,34
194,20042005,3,24
194,20042005,4,21
194,20042005,5,39
194,20052006,K,21
194,20052006,1,25
194,20052006,2,32
194,20052006,3,31
194,20052006,4,20
194,20052006,5,25
194,20062007,K,22
194,20062007,1,23
194,20062007,2,23
194,20062007,3,33
194,20062007,4,32
194,20062007,5,19
194,20072008,K,21
194,20072008,1,23
194,20072008,2,26
194,20072008,3,27
194,20072008,4,32
194,20072008,5,28
194,20082009,K,35
194,20082009,1,24
194,20082009,2,26
194,20082009,3,28
194,20082009,4,30
194,20082009,5,38
194,20092010,K,50
194,20092010,1,36
194,20092010,2,29
194,20092010,3,28
194,20092010,4,41
194,20092010,5,37
194,20102011,K,29
194,20102011,1,44
194,20102011,2,37
194,20102011,3,28
194,20102011,4,28
194,20102011,5,37
196,20012002,K,32
196,20012002,1,32
196,20012002,2,42
196,20012002,3,32
196,20012002,4,35
196,20012002,5,47
196,20022003,K,23
196,20022003,1,41
196,20022003,2,38
196,20022003,3,48
196,20022003,4,36
196,20022003,5,34
196,20032004,K,30
196,20032004,1,28
196,20032004,2,39
196,20032004,3,38
196,20032004,4,43
196,20032004,5,45
196,20042005,K,26
196,20042005,1,32
196,20042005,2,29
196,20042005,3,34
196,20042005,4,40
196,20042005,5,42
196,20052006,K,33
196,20052006,1,26
196,20052006,2,32
196,20052006,3,29
196,20052006,4,40
196,20052006,5,46
196,20062007,K,32
196,20062007,1,34
196,20062007,2,31
196,20062007,3,30
196,20062007,4,29
196,20062007,5,40
196,20072008,K,37
196,20072008,1,33
196,20072008,2,30
196,20072008,3,23
196,20072008,4,30
196,20072008,5,26
196,20082009,K,39
196,20082009,1,37
196,20082009,2,36
196,20082009,3,43
196,20082009,4,27
196,20082009,5,38
196,20092010,K,55
196,20092010,1,45
196,20092010,2,43
196,20092010,3,50
196,20092010,4,51
196,20092010,5,40
196,20102011,K,41
196,20102011,1,61
196,20102011,2,53
196,20102011,3,50
196,20102011,4,55
196,20102011,5,57
198,20012002,K,15
198,20012002,1,11
198,20012002,2,12
198,20012002,3,13
198,20012002,4,14
198,20012002,5,9
198,20022003,K,6
198,20022003,1,16
198,20022003,2,11
198,20022003,3,12
198,20022003,4,13
198,20022003,5,14
198,20032004,K,19
198,20032004,1,9
198,20032004,2,16
198,20032004,3,13
198,20032004,4,12
198,20032004,5,14
198,20042005,K,15
198,20042005,1,15
198,20042005,2,8
198,20042005,3,14
198,20042005,4,8
198,20042005,5,15
198,20052006,K,8
198,20052006,1,14
198,20052006,2,15
198,20052006,3,8
198,20052006,4,14
198,20052006,5,9
198,20062007,K,16
198,20062007,1,10
198,20062007,2,15
198,20062007,3,12
198,20062007,4,9
198,20062007,5,15
198,20072008,K,14
198,20072008,1,17
198,20072008,2,13
198,20072008,3,13
198,20072008,4,12
198,20072008,5,10
198,20082009,K,13
198,20082009,1,12
198,20082009,2,17
198,20082009,3,13
198,20082009,4,12
198,20082009,5,11
198,20092010,K,16
198,20092010,1,13
198,20092010,2,13
198,20092010,3,17
198,20092010,4,17
198,20092010,5,14
198,20102011,K,12
198,20102011,1,14
198,20102011,2,13
198,20102011,3,12
198,20102011,4,18
198,20102011,5,20
200,20012002,K,15
200,20012002,1,22
200,20012002,2,13
200,20012002,3,9
200,20012002,4,15
200,20012002,5,10
200,20022003,K,7
200,20022003,1,16
200,20022003,2,19
200,20022003,3,13
200,20022003,4,11
200,20022003,5,14
200,20032004,K,19
200,20032004,1,8
200,20032004,2,18
200,20032004,3,18
200,20032004,4,16
200,20032004,5,11
200,20042005,K,10
200,20042005,1,20
200,20042005,2,10
200,20042005,3,15
200,20042005,4,22
200,20042005,5,20
200,20052006,K,17
200,20052006,1,17
200,20052006,2,19
200,20052006,3,11
200,20052006,4,14
200,20052006,5,21
200,20062007,K,22
200,20062007,1,17
200,20062007,2,14
200,20062007,3,17
200,20062007,4,11
200,20062007,5,15
200,20072008,K,11
200,20072008,1,24
200,20072008,2,18
200,20072008,3,15
200,20072008,4,13
200,20072008,5,14
200,20082009,K,18
200,20082009,1,15
200,20082009,2,21
200,20082009,3,15
200,20082009,4,15
200,20082009,5,13
200,20092010,K,17
200,20092010,1,19
200,20092010,2,20
200,20092010,3,23
200,20092010,4,18
200,20092010,5,13
200,20102011,K,27
200,20102011,1,19
200,20102011,2,23
200,20102011,3,22
200,20102011,4,23
200,20102011,5,24
202,20012002,K,9
202,20012002,1,7
202,20012002,2,7
202,20012002,3,10
202,20012002,4,7
202,20012002,5,5
202,20022003,K,8
202,20022003,1,10
202,20022003,2,8
202,20022003,3,5
202,20022003,4,10
202,20022003,5,8
202,20032004,K,5
202,20032004,1,8
202,20032004,2,8
202,20032004,3,7
202,20032004,4,8
202,20032004,5,11
202,20042005,K,8
202,20042005,1,9
202,20042005,2,9
202,20042005,3,7
202,20042005,4,7
202,20042005,5,11
202,20052006,K,12
202,20052006,1,7
202,20052006,2,11
202,20052006,3,11
202,20052006,4,8
202,20052006,5,8
202,20062007,K,2
202,20062007,1,18
202,20062007,2,6
202,20062007,3,10
202,20062007,4,10
202,20062007,5,7
202,20072008,K,4
202,20072008,1,2
202,20072008,2,16
202,20072008,3,7
202,20072008,4,11
202,20072008,5,9
202,20082009,K,10
202,20082009,1,11
202,20082009,2,2
202,20082009,3,17
202,20082009,4,6
202,20082009,5,16
202,20092010,K,11
202,20092010,1,15
202,20092010,2,12
202,20092010,3,6
202,20092010,4,20
202,20092010,5,12
202,20102011,K,12
202,20102011,1,15
202,20102011,2,14
202,20102011,3,14
202,20102011,4,7
202,20102011,5,21
204,20012002,K,8
204,20012002,1,7
204,20012002,2,6
204,20012002,3,5
204,20012002,4,5
204,20012002,5,5
204,20022003,K,11
204,20022003,1,10
204,20022003,2,6
204,20022003,3,5
204,20022003,4,7
204,20022003,5,6
204,20032004,K,2
204,20032004,1,13
204,20032004,2,9
204,20032004,3,7
204,20032004,4,6
204,20032004,5,8
204,20042005,K,6
204,20042005,1,4
204,20042005,2,11
204,20042005,3,11
204,20042005,4,6
204,20042005,5,8
204,20052006,K,6
204,20052006,1,7
204,20052006,2,4
204,20052006,3,9
204,20052006,4,11
204,20052006,5,7
204,20062007,K,4
204,20062007,1,11
204,20062007,2,5
204,20062007,3,4
204,20062007,4,10
204,20062007,5,10
204,20072008,K,7
204,20072008,1,2
204,20072008,2,12
204,20072008,3,3
204,20072008,4,2
204,20072008,5,10
204,20082009,K,5
204,20082009,1,7
204,20082009,2,4
204,20082009,3,12
204,20082009,4,5
204,20082009,5,3
204,20092010,K,8
204,20092010,1,4
204,20092010,2,12
204,20092010,3,5
204,20092010,4,12
204,20092010,5,11
204,20102011,K,11
204,20102011,1,9
204,20102011,2,6
204,20102011,3,13
204,20102011,4,5
204,20102011,5,16
206,20012002,K,14
206,20012002,1,11
206,20012002,2,15
206,20012002,3,14
206,20012002,4,13
206,20012002,5,12
206,20022003,K,9
206,20022003,1,19
206,20022003,2,14
206,20022003,3,14
206,20022003,4,15
206,20022003,5,19
206,20032004,K,15
206,20032004,1,10
206,20032004,2,19
206,20032004,3,16
206,20032004,4,16
206,20032004,5,17
206,20042005,K,13
206,20042005,1,14
206,20042005,2,12
206,20042005,3,14
206,20042005,4,18
206,20042005,5,12
206,20052006,K,11
206,20052006,1,12
206,20052006,2,16
206,20052006,3,13
206,20052006,4,14
206,20052006,5,18
206,20062007,K,15
206,20062007,1,13
206,20062007,2,12
206,20062007,3,11
206,20062007,4,15
206,20062007,5,12
206,20072008,K,8
206,20072008,1,17
206,20072008,2,12
206,20072008,3,10
206,20072008,4,13
206,20072008,5,15
206,20082009,K,13
206,20082009,1,10
206,20082009,2,16
206,20082009,3,12
206,20082009,4,11
206,20082009,5,15
206,20092010,K,15
206,20092010,1,13
206,20092010,2,12
206,20092010,3,16
206,20092010,4,18
206,20092010,5,12
206,20102011,K,19
206,20102011,1,18
206,20102011,2,13
206,20102011,3,13
206,20102011,4,16
206,20102011,5,16
207,20102011,3,1
208,20012002,K,13
208,20012002,1,20
208,20012002,2,20
208,20012002,3,19
208,20012002,4,23
208,20012002,5,19
208,20022003,K,19
208,20022003,1,17
208,20022003,2,23
208,20022003,3,22
208,20022003,4,18
208,20022003,5,30
208,20032004,K,12
208,20032004,1,18
208,20032004,2,15
208,20032004,3,23
208,20032004,4,24
208,20032004,5,21
208,20042005,K,14
208,20042005,1,12
208,20042005,2,13
208,20042005,3,17
208,20042005,4,21
208,20042005,5,24
208,20052006,K,17
208,20052006,1,15
208,20052006,2,14
208,20052006,3,15
208,20052006,4,18
208,20052006,5,23
208,20062007,K,18
208,20062007,1,19
208,20062007,2,17
208,20062007,3,10
208,20062007,4,14
208,20062007,5,21
208,20072008,K,12
208,20072008,1,18
208,20072008,2,22
208,20072008,3,16
208,20072008,4,13
208,20072008,5,14
208,20082009,K,18
208,20082009,1,19
208,20082009,2,21
208,20082009,3,26
208,20082009,4,21
208,20082009,5,18
208,20092010,K,27
208,20092010,1,23
208,20092010,2,23
208,20092010,3,25
208,20092010,4,29
208,20092010,5,31
208,20102011,K,19
208,20102011,1,32
208,20102011,2,26
208,20102011,3,28
208,20102011,4,28
208,20102011,5,38
210,20012002,K,27
210,20012002,1,17
210,20012002,2,39
210,20012002,3,19
210,20012002,4,23
210,20012002,5,29
210,20022003,K,27
210,20022003,1,24
210,20022003,2,20
210,20022003,3,40
210,20022003,4,19
210,20022003,5,27
210,20032004,K,26
210,20032004,1,30
210,20032004,2,27
210,20032004,3,27
210,20032004,4,45
210,20032004,5,22
210,20042005,K,22
210,20042005,1,28
210,20042005,2,32
210,20042005,3,27
210,20042005,4,26
210,20042005,5,44
210,20052006,K,23
210,20052006,1,28
210,20052006,2,32
210,20052006,3,35
210,20052006,4,27
210,20052006,5,29
210,20062007,K,16
210,20062007,1,27
210,20062007,2,30
210,20062007,3,35
210,20062007,4,30
210,20062007,5,28
210,20072008,K,20
210,20072008,1,13
210,20072008,2,25
210,20072008,3,27
210,20072008,4,32
210,20072008,5,30
210,20082009,K,36
210,20082009,1,22
210,20082009,2,23
210,20082009,3,26
210,20082009,4,29
210,20082009,5,30
210,20092010,K,48
210,20092010,1,45
210,20092010,2,30
210,20092010,3,31
210,20092010,4,30
210,20092010,5,35
210,20102011,K,45
210,20102011,1,57
210,20102011,2,46
210,20102011,3,29
210,20102011,4,33
210,20102011,5,33
212,20012002,K,27
212,20012002,1,38
212,20012002,2,50
212,20012002,3,33
212,20012002,4,31
212,20012002,5,42
212,20022003,K,41
212,20022003,1,27
212,20022003,2,36
212,20022003,3,46
212,20022003,4,32
212,20022003,5,35
212,20032004,K,33
212,20032004,1,39
212,20032004,2,26
212,20032004,3,38
212,20032004,4,47
212,20032004,5,34
212,20042005,K,49
212,20042005,1,37
212,20042005,2,36
212,20042005,3,26
212,20042005,4,34
212,20042005,5,46
212,20052006,K,52
212,20052006,1,45
212,20052006,2,36
212,20052006,3,30
212,20052006,4,26
212,20052006,5,45
212,20062007,K,48
212,20062007,1,51
212,20062007,2,51
212,20062007,3,35
212,20062007,4,32
212,20062007,5,31
212,20072008,K,39
212,20072008,1,55
212,20072008,2,55
212,20072008,3,51
212,20072008,4,34
212,20072008,5,27
212,20082009,K,44
212,20082009,1,46
212,20082009,2,54
212,20082009,3,59
212,20082009,4,53
212,20082009,5,32
212,20092010,K,46
212,20092010,1,56
212,20092010,2,52
212,20092010,3,55
212,20092010,4,59
212,20092010,5,61
212,20102011,K,51
212,20102011,1,51
212,20102011,2,56
212,20102011,3,41
212,20102011,4,55
